account_id,district_name,open_date,statement_frequency,num_customers,credit_cards,loan,loan_amount,loan_payments,loan_term,loan_status,loan_default,max_withdrawal,min_withdrawal,cc_payments,max_balance,min_balance
1,Pisek,1995-03-24,monthly,1,0,False,,,,,,7500,15,102,30415,1000
2,Hl.m. Praha,1993-02-26,monthly,2,0,True,80952.0,3373.0,24,expired,False,42000,15,152,69302,1100
3,Kolin,1997-07-07,monthly,2,0,False,,,,,,7400,15,46,53447,1000
4,Pribram,1996-02-21,monthly,1,0,False,,,,,,5250,15,65,34870,800
5,Cesky Krumlov,1997-05-30,monthly,1,0,False,,,,,,5100,15,35,32036,600
6,Trutnov,1994-09-27,monthly,1,0,False,,,,,,11600,15,99,51879,900
7,Prostejov,1996-11-24,monthly,1,1,False,,,,,,25800,15,51,99675,900
8,Hodonin,1995-09-21,monthly,2,0,False,,,,,,40800,15,84,79255,900
9,Karvina,1993-01-27,monthly,1,0,False,,,,,,38100,15,183,85444,400
10,Brno - mesto,1996-08-28,monthly,1,0,False,,,,,,23840,15,59,83410,1100
11,Sumperk,1995-10-10,monthly,1,0,False,,,,,,6700,15,79,40389,300
12,Tabor,1997-04-15,monthly,2,0,False,,,,,,11000,15,39,29053,1100
13,Sumperk,1997-08-17,monthly,2,0,False,,,,,,7500,15,31,29751,1000
14,Pardubice,1996-11-27,monthly,1,1,False,,,,,,17200,15,52,59453,400
15,Karvina,1993-10-02,monthly,1,0,False,,,,,,46720,15,129,66671,800
16,Pribram,1997-09-23,monthly,1,0,False,,,,,,26300,15,32,60274,500
17,Hl.m. Praha,1997-01-08,monthly,2,0,False,,,,,,25500,15,33,100815,700
19,Tabor,1995-04-07,monthly,1,0,True,30276.0,2523.0,12,expired,True,18500,1,152,58158,-10605
20,Ostrava - mesto,1996-08-24,monthly,1,0,False,,,,,,4950,15,53,20458,500
21,Brno - mesto,1997-12-06,monthly,1,0,False,,,,,,28000,15,34,61685,1100
22,Hl.m. Praha,1994-03-23,monthly,1,0,False,,,,,,27600,15,118,68160,1100
23,Sokolov,1993-05-22,monthly,1,0,False,,,,,,40480,15,137,95299,800
24,Ostrava - mesto,1996-12-05,monthly,1,0,False,,,,,,26800,15,52,49091,1000
25,Frydek - Mistek,1996-07-28,monthly,1,0,True,30276.0,2523.0,12,expired,False,63300,15,82,134210,900
26,Usti nad Orlici,1993-08-08,monthly,1,0,False,,,,,,29100,15,133,83469,800
27,Opava,1993-09-26,monthly,1,0,False,,,,,,9500,15,135,40464,900
29,Melnik,1994-11-24,monthly,2,0,False,,,,,,18000,15,100,59950,700
30,Liberec,1995-03-04,monthly,1,0,False,,,,,,75600,15,130,149154,400
31,Frydek - Mistek,1994-04-27,monthly,1,0,False,,,,,,61700,15,164,137131,800
32,Kolin,1995-08-28,monthly,1,0,False,,,,,,21500,15,82,90565,700
33,Domazlice,1993-08-26,monthly,1,1,False,,,,,,63100,15,131,123696,600
35,Prerov,1993-07-07,monthly,1,0,False,,,,,,14950,15,127,32520,600
36,Hl.m. Praha,1993-07-01,monthly,1,0,False,,,,,,41120,15,134,85055,500
37,Strakonice,1997-08-18,monthly,1,0,True,318480.0,5308.0,60,current,True,43200,0,36,104762,-1011
39,Liberec,1993-09-22,monthly,1,0,False,,,,,,7300,15,124,36322,1100
40,Zlin,1993-10-25,monthly,1,0,False,,,,,,13000,15,133,41560,700
41,Olomouc,1997-08-02,monthly,1,0,False,,,,,,19000,15,36,100992,800
42,Most,1996-08-16,monthly,1,0,False,,,,,,11000,15,63,45322,800
43,Liberec,1994-06-12,monthly,1,1,False,,,,,,38560,15,112,99572,1100
44,Ceska Lipa,1993-05-10,monthly,1,0,False,,,,,,11350,15,131,29482,400
45,Zlin,1997-09-02,monthly,1,0,False,,,,,,15000,15,41,52970,300
47,Jicin,1993-08-08,monthly,1,0,False,,,,,,63300,15,133,108509,300
48,Tabor,1996-11-17,monthly,2,1,False,,,,,,25120,15,52,72803,700
49,Hl.m. Praha,1997-04-06,monthly,1,0,False,,,,,,3520,15,43,24004,300
50,Hl.m. Praha,1994-05-06,monthly,1,0,False,,,,,,23600,15,117,90088,900
51,Bruntal,1996-05-11,monthly,1,1,False,,,,,,26300,15,63,106203,800
52,Jindrichuv Hradec,1997-01-29,monthly,1,0,False,,,,,,42300,15,48,83077,900
53,Vsetin,1995-06-07,monthly,1,0,False,,,,,,3900,15,87,27519,700
54,Kladno,1995-05-02,monthly,1,0,False,,,,,,8070,15,89,29756,1000
55,Strakonice,1996-02-19,monthly,1,0,False,,,,,,4300,15,65,23445,300
56,Svitavy,1994-05-16,monthly,1,0,False,,,,,,29600,15,118,78757,900
57,Hl.m. Praha,1995-05-21,monthly,1,0,False,,,,,,25300,15,87,77726,700
