"","account_id","district_name","open_date","statement_frequency","num_cutomers","credit_cards","loan_status","loan_default","loan","loan_amount","loan_payments","loan_term","min_withdrawal","max_withdrawal","cc_payments","min_balance","max_balance"
"1",1,"Pisek",1995-03-24,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,7500,102,1000,30415
"2",2,"Hl.m. Praha",1993-02-26,"monthly",2,0,"expired","Flase","False",80952,3373,"24",15,42000,152,1100,69302
"3",3,"Kolin",1997-07-07,"monthly",2,0,NA,NA,NA,NA,NA,NA,15,7400,46,1000,53447
"4",4,"Pribram",1996-02-21,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,5250,65,800,34870
"5",5,"Cesky Krumlov",1997-05-30,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,5100,35,600,32036
"6",6,"Trutnov",1994-09-27,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,11600,99,900,51879
"7",7,"Prostejov",1996-11-24,"monthly",1,1,NA,NA,NA,NA,NA,NA,15,25800,51,900,99675
"8",8,"Hodonin",1995-09-21,"monthly",2,0,NA,NA,NA,NA,NA,NA,15,40800,84,900,79255
"9",9,"Karvina",1993-01-27,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,38100,183,400,85444
"10",10,"Brno - mesto",1996-08-28,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,23840,59,1100,83410
"11",11,"Sumperk",1995-10-10,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,6700,79,300,40389
"12",12,"Tabor",1997-04-15,"monthly",2,0,NA,NA,NA,NA,NA,NA,15,11000,39,1100,29053
"13",13,"Sumperk",1997-08-17,"monthly",2,0,NA,NA,NA,NA,NA,NA,15,7500,31,1000,29751
"14",14,"Pardubice",1996-11-27,"monthly",1,1,NA,NA,NA,NA,NA,NA,15,17200,52,400,59453
"15",15,"Karvina",1993-10-02,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,46720,129,800,66671
"16",16,"Pribram",1997-09-23,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,26300,32,500,60274
"17",17,"Hl.m. Praha",1997-01-08,"monthly",2,0,NA,NA,NA,NA,NA,NA,15,25500,33,700,100815
"18",18,"Hradec Kralove",1993-05-26,"weekly",1,0,NA,NA,NA,NA,NA,NA,30,70200,156,576,155603
"19",19,"Tabor",1995-04-07,"monthly",1,0,"expired","True","False",30276,2523,"12",1,18500,152,-10605,58158
"20",20,"Ostrava - mesto",1996-08-24,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,4950,53,500,20458
"21",21,"Brno - mesto",1997-12-06,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,28000,34,1100,61685
"22",22,"Hl.m. Praha",1994-03-23,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,27600,118,1100,68160
"23",23,"Sokolov",1993-05-22,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,40480,137,800,95299
"24",24,"Ostrava - mesto",1996-12-05,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,26800,52,1000,49091
"25",25,"Frydek - Mistek",1996-07-28,"monthly",1,0,"expired","Flase","False",30276,2523,"12",15,63300,82,900,134210
"26",26,"Usti nad Orlici",1993-08-08,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,29100,133,800,83469
"27",27,"Opava",1993-09-26,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,9500,135,900,40464
"28",29,"Melnik",1994-11-24,"monthly",2,0,NA,NA,NA,NA,NA,NA,15,18000,100,700,59950
"29",30,"Liberec",1995-03-04,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,75600,130,400,149154
"30",31,"Frydek - Mistek",1994-04-27,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,61700,164,800,137131
"31",32,"Kolin",1995-08-28,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,21500,82,700,90565
"32",33,"Domazlice",1993-08-26,"monthly",1,1,NA,NA,NA,NA,NA,NA,15,63100,131,600,123696
"33",34,"Bruntal",1993-09-17,"weekly",1,1,NA,NA,NA,NA,NA,NA,30,36300,127,600,94580
"34",35,"Prerov",1993-07-07,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,14950,127,600,32520
"35",36,"Hl.m. Praha",1993-07-01,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,41120,134,500,85055
"36",37,"Strakonice",1997-08-18,"monthly",1,0,"current","True","False",318480,5308,"60",0,43200,36,-1011,104762
"37",38,"Prachatice",1997-08-08,"weekly",1,0,"current","False","False",110736,2307,"48",30,16800,48,13841,55991
"38",39,"Liberec",1993-09-22,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,7300,124,1100,36322
"39",40,"Zlin",1993-10-25,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,13000,133,700,41560
"40",41,"Olomouc",1997-08-02,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,19000,36,800,100992
"41",42,"Most",1996-08-16,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,11000,63,800,45322
"42",43,"Liberec",1994-06-12,"monthly",1,1,NA,NA,NA,NA,NA,NA,15,38560,112,1100,99572
"43",44,"Ceska Lipa",1993-05-10,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,11350,131,400,29482
"44",45,"Zlin",1997-09-02,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,15000,41,300,52970
"45",47,"Jicin",1993-08-08,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,63300,133,300,108509
"46",48,"Tabor",1996-11-17,"monthly",2,1,NA,NA,NA,NA,NA,NA,15,25120,52,700,72803
"47",49,"Hl.m. Praha",1997-04-06,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,3520,43,300,24004
"48",50,"Hl.m. Praha",1994-05-06,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,23600,117,900,90088
"49",51,"Bruntal",1996-05-11,"monthly",1,1,NA,NA,NA,NA,NA,NA,15,26300,63,800,106203
"50",52,"Jindrichuv Hradec",1997-01-29,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,42300,48,900,83077
"51",53,"Vsetin",1995-06-07,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,3900,87,700,27519
"52",54,"Kladno",1995-05-02,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,8070,89,1000,29756
"53",55,"Strakonice",1996-02-19,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,4300,65,300,23445
"54",56,"Svitavy",1994-05-16,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,29600,118,900,78757
"55",57,"Hl.m. Praha",1995-05-21,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,25300,87,700,77726
"56",58,"Rokycany",1996-08-23,"monthly",1,0,NA,NA,NA,NA,NA,NA,6,14250,54,-2204,28954
"57",59,"Hradec Kralove",1994-03-27,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,22880,123,600,89720
"58",61,"Karvina",1993-12-11,"monthly",2,0,NA,NA,NA,NA,NA,NA,15,5850,117,700,31765
"59",62,"Pardubice",1993-03-28,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,7600,135,1100,36366
"60",63,"Domazlice",1996-11-16,"monthly",2,0,NA,NA,NA,NA,NA,NA,15,11650,47,600,37303
"61",64,"Zlin",1997-03-11,"monthly",1,0,NA,NA,NA,NA,NA,NA,200,32200,30,200,79559
"62",65,"Liberec",1996-10-29,"monthly",1,1,NA,NA,NA,NA,NA,NA,15,26800,53,600,85379
"63",66,"Rychnov nad Kneznou",1993-12-03,"after every transaction",1,1,NA,NA,NA,NA,NA,NA,100,60900,123,400,129813
"64",67,"Jindrichuv Hradec",1994-10-19,"monthly",1,0,"expired","Flase","False",165960,6915,"24",15,61500,102,700,134939
"65",68,"Litomerice",1994-12-20,"after every transaction",1,1,NA,NA,NA,NA,NA,NA,100,61000,98,200,131470
"66",69,"Zlin",1996-01-12,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,22800,123,600,71708
"67",70,"Mlada Boleslav",1995-02-18,"monthly",2,0,NA,NA,NA,NA,NA,NA,15,20320,101,500,60184
"68",71,"Hl.m. Praha",1994-03-05,"monthly",2,1,NA,NA,NA,NA,NA,NA,15,39520,118,700,94860
"69",72,"Hl.m. Praha",1996-06-20,"weekly",2,0,NA,NA,NA,NA,NA,NA,30,62800,92,1100,156396
"70",73,"Olomouc",1993-11-08,"monthly",1,1,NA,NA,NA,NA,NA,NA,15,44160,128,400,89175
"71",75,"Hl.m. Praha",1995-08-13,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,20300,82,700,49848
"72",76,"Usti nad Orlici",1996-05-16,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,22400,73,200,49609
"73",77,"Vyskov",1996-11-19,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,36200,52,400,56325
"74",78,"Ostrava - mesto",1993-07-07,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,21100,137,400,78733
"75",79,"Beroun",1996-11-29,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,3680,47,600,27474
"76",80,"Hradec Kralove",1995-09-27,"monthly",2,0,NA,NA,NA,NA,NA,NA,15,5250,75,900,28082
"77",81,"Ostrava - mesto",1996-07-18,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,3800,74,1000,39080
"78",82,"Plzen - mesto",1994-05-03,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,61100,144,300,161574
"79",83,"Plzen - mesto",1993-04-16,"monthly",2,0,NA,NA,NA,NA,NA,NA,15,14080,147,500,42435
"80",84,"Chrudim",1995-12-25,"after every transaction",1,0,NA,NA,NA,NA,NA,NA,100,45600,93,1100,133184
"81",85,"Frydek - Mistek",1997-03-23,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,7200,54,400,59467
"82",86,"Brno - mesto",1993-03-07,"monthly",2,0,NA,NA,NA,NA,NA,NA,15,8880,141,800,28700
"83",88,"Tachov",1996-07-03,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,2550,61,300,27174
"84",89,"Frydek - Mistek",1997-09-25,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,10200,33,600,39075
"85",90,"Hl.m. Praha",1994-07-13,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,25120,110,500,74107
"86",91,"Pelhrimov",1996-11-06,"monthly",1,0,NA,NA,NA,NA,NA,NA,1,34700,42,-4188,77111
"87",93,"Benesov",1996-06-12,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,24400,66,500,38377
"88",95,"Hl.m. Praha",1995-03-30,"monthly",2,1,NA,NA,NA,NA,NA,NA,15,32000,92,200,97808
"89",96,"Frydek - Mistek",1993-02-18,"monthly",2,1,NA,NA,NA,NA,NA,NA,15,67500,146,1100,156580
"90",97,"Ostrava - mesto",1996-05-05,"monthly",2,1,"expired","Flase","False",102876,8573,"12",15,18600,67,900,67288
"91",98,"Brno - venkov",1997-05-02,"monthly",2,0,NA,NA,NA,NA,NA,NA,15,7700,41,1100,25586
"92",99,"Hl.m. Praha",1995-06-27,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,64900,93,600,122885
"93",100,"Usti nad Labem",1993-12-28,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,35040,145,600,84377
"94",101,"Jablonec n. Nisou",1996-04-16,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,46240,71,1000,81423
"95",102,"Praha - zapad",1993-10-16,"monthly",1,0,NA,NA,NA,NA,NA,NA,0,29600,118,-7104,96777
"96",103,"Chrudim",1996-03-10,"monthly",1,0,"current","True","False",265320,7370,"36",4,62700,84,-1140,124758
"97",104,"Litomerice",1993-04-15,"monthly",2,0,NA,NA,NA,NA,NA,NA,15,8700,133,500,31741
"98",105,"Tabor",1997-07-10,"monthly",1,1,"current","False","False",352704,7348,"48",15,29900,30,800,74694
"99",106,"Vyskov",1994-11-27,"monthly",1,1,NA,NA,NA,NA,NA,NA,15,18800,99,500,76991
"100",107,"Zlin",1993-11-05,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,5760,152,1000,50612
"101",108,"Blansko",1995-03-10,"monthly",1,1,NA,NA,NA,NA,NA,NA,15,34720,94,800,88609
"102",109,"Blansko",1997-04-20,"monthly",1,1,NA,NA,NA,NA,NA,NA,15,9100,70,1100,53624
"103",110,"Liberec",1996-07-17,"monthly",1,1,"current","False","False",162576,4516,"36",15,44480,61,900,79652
"104",112,"Kutna Hora",1993-03-12,"monthly",2,0,NA,NA,NA,NA,NA,NA,15,38500,141,200,52895
"105",113,"Brno - venkov",1996-07-22,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,6800,55,600,32697
"106",114,"Prostejov",1997-03-14,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,6000,39,500,27332
"107",115,"Frydek - Mistek",1993-03-19,"monthly",1,1,NA,NA,NA,NA,NA,NA,15,11100,158,800,52047
"108",116,"Mlada Boleslav",1996-03-21,"monthly",2,0,NA,NA,NA,NA,NA,NA,15,31400,68,800,77466
"109",117,"Tachov",1993-09-05,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,11200,129,900,32382
"110",118,"Frydek - Mistek",1997-09-18,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,5000,37,600,40532
"111",119,"Plzen - jih",1993-05-25,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,21200,135,800,70508
"112",120,"Znojmo",1995-06-16,"weekly",1,0,NA,NA,NA,NA,NA,NA,30,64800,105,1100,131889
"113",121,"Brno - venkov",1997-10-11,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,5600,39,200,37504
"114",122,"Tachov",1996-10-30,"monthly",1,1,NA,NA,NA,NA,NA,NA,15,29400,53,900,86062
"115",123,"Tabor",1993-03-13,"monthly",2,0,NA,NA,NA,NA,NA,NA,15,4500,135,200,27494
"116",124,"Brno - venkov",1997-12-28,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,4900,29,800,26468
"117",125,"Benesov",1996-09-07,"after every transaction",1,0,NA,NA,NA,NA,NA,NA,100,64000,66,200,130433
"118",126,"Kolin",1993-10-23,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,48900,140,200,118219
"119",127,"Rokycany",1994-02-02,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,6400,119,600,23673
"120",128,"Benesov",1993-02-19,"monthly",1,1,NA,NA,NA,NA,NA,NA,15,21900,208,300,86413
"121",129,"Ostrava - mesto",1997-10-01,"monthly",2,0,NA,NA,NA,NA,NA,NA,15,7200,31,600,29052
"122",130,"Brno - mesto",1997-02-12,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,7350,42,300,35067
"123",131,"Usti nad Orlici",1995-06-13,"monthly",1,0,NA,NA,NA,NA,NA,NA,15,33000,90,5496,48212
